City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,soledad de doblado,19.05,-96.4167,24.47,96,46,1.96,MX,1690614089
393,oodweyne,9.4092,45.064,25.36,53,98,12.79,SO,1690614089
394,cururupu,-1.8283,-44.8683,22.91,97,16,1.52,BR,1690613978
395,kolonia,50.9333,6.95,19.77,90,20,1.03,DE,1690614010
396,goundi,9.3627,17.366,26.09,74,48,1.87,TD,1690614091
397,san felice circeo,41.2372,13.0942,26.43,74,6,0.45,IT,1690614091
398,baiyin,36.5583,104.2081,28.99,32,0,2.36,CN,1690614067
399,saint-francois,46.4154,3.9054,18.69,88,0,2.06,FR,1690614093
400,suances,43.4334,-4.0434,22.84,90,75,0.0,ES,1690614093
401,laguna,38.421,-121.4238,24.14,44,0,4.12,US,1690614094
402,zima,53.9202,102.0442,27.72,43,98,3.94,RU,1690614095
403,zaysan,47.4667,84.8667,27.22,30,41,6.32,KZ,1690614096
404,antsiranana,-12.2787,49.2917,26.42,41,20,9.26,MG,1690614096
405,casablanca,33.5928,-7.6192,21.19,88,40,1.03,MA,1690614097
406,hede,33.7681,120.2517,26.83,88,100,8.61,CN,1690614097
407,lagoa vermelha,-28.2086,-51.5258,3.37,97,12,2.38,BR,1690614098
408,cabo san lucas,22.8909,-109.9124,30.9,63,90,0.45,MX,1690613919
409,jianshui,23.6363,102.8264,26.64,70,99,1.48,CN,1690614098
410,asilah,35.465,-6.0348,20.98,70,0,1.79,MA,1690614099
411,beitbridge,-22.2167,30.0,21.01,37,37,1.36,ZW,1690614099
412,avarua,-21.2078,-159.775,23.03,73,100,4.63,CK,1690614100
413,yokadouma,3.5167,15.05,22.95,95,91,1.37,CM,1690614100
414,miles city,46.4083,-105.8406,19.88,72,100,5.49,US,1690614101
415,turuntayevo,52.2,107.6167,33.05,34,43,2.52,RU,1690614101
416,guli,28.8833,120.0333,27.14,74,100,4.39,CN,1690613847
417,mao,39.8885,4.2658,26.31,89,20,2.57,ES,1690614102
418,smithers,54.7804,-127.1743,15.18,77,0,0.0,CA,1690614103
419,pitimbu,-7.4706,-34.8086,21.33,85,59,4.69,BR,1690614103
420,porto novo,6.4965,2.6036,24.9,91,100,1.99,BJ,1690614104
421,santa maria,-29.6842,-53.8069,6.44,97,7,2.34,BR,1690613824
422,santiago de cao,-7.9589,-79.2392,21.07,88,100,3.6,PE,1690614104
423,marsh harbour,26.5412,-77.0636,28.96,76,14,5.81,BS,1690614105
424,tete,-16.1564,33.5867,23.05,60,0,0.0,MZ,1690614120
425,carlsbad,33.1581,-117.3506,23.8,90,35,0.92,US,1690614001
426,lebu,-37.6167,-73.65,11.77,89,100,3.46,CL,1690614106
427,el calafate,-50.3408,-72.2768,2.61,84,32,0.79,AR,1690614107
428,port moresby,-9.4431,147.1797,27.68,74,75,5.14,PG,1690613806
429,preobrazheniye,42.9019,133.9064,26.6,68,54,5.9,RU,1690614108
430,aswan,24.0934,32.907,37.61,12,0,3.09,EG,1690614108
431,rabo de peixe,37.8,-25.5833,20.73,88,20,0.0,PT,1690614109
432,zhumysker,49.3333,49.4,28.23,46,100,5.4,KZ,1690614109
433,narasannapeta,18.4167,84.05,33.54,63,100,3.88,IN,1690614110
434,muroto-misakicho,33.2833,134.15,28.51,74,49,3.92,JP,1690614110
435,santa rosa,14.3122,121.1114,27.84,75,95,5.72,PH,1690614110
436,hakui,36.8833,136.7833,34.58,67,34,2.28,JP,1690614111
437,hrodna,53.6884,23.8258,16.92,82,75,4.0,BY,1690614112
438,antalaha,-14.9003,50.2788,24.75,53,11,5.39,MG,1690614112
439,bonab,37.3404,46.0561,31.25,25,20,7.2,IR,1690614112
440,vrangel',42.7297,133.0839,23.14,83,75,3.59,RU,1690614113
441,latehar,23.75,84.5,33.85,54,100,1.94,IN,1690614113
442,fauske,67.2588,15.3918,17.19,87,86,0.76,NO,1690614114
443,nuuk,64.1835,-51.7216,9.34,87,75,4.12,GL,1690614114
444,pathein,16.7833,94.7333,31.12,68,75,7.17,MM,1690614115
445,kalabo,-14.97,22.6814,21.45,27,5,4.08,ZM,1690614115
446,cabugao,17.7931,120.4578,29.92,75,100,4.9,PH,1690614116
447,maymana,35.9214,64.7836,33.53,20,2,3.47,AF,1690614116
448,ashchysay,43.5542,68.8889,30.29,16,0,10.83,KZ,1690614117
449,shelby,35.2001,-89.8668,27.25,89,0,0.0,US,1690614117
450,paracuru,-3.41,-39.0306,26.73,86,30,5.56,BR,1690614118
451,tacuarembo,-31.7333,-55.9833,4.72,90,7,1.92,UY,1690614086
452,myshkin,57.7897,38.4545,16.37,75,100,2.98,RU,1690614119
453,bengkulu,-3.8004,102.2655,28.28,75,100,5.09,ID,1690614119
454,alice springs,-23.7,133.8833,23.75,46,75,3.09,AU,1690614012
455,fada,9.5667,8.3,21.29,93,100,0.21,NG,1690614120
456,pitoa,9.3833,13.5333,24.85,77,100,2.73,CM,1690614120
457,lityn,49.3251,28.0809,22.12,58,1,4.52,UA,1690614121
458,yavoriv,49.9386,23.3825,20.21,76,17,3.14,UA,1690614122
459,saldanha,-33.0117,17.9442,10.03,84,100,9.04,ZA,1690614122
460,pemangkat,1.1667,108.9667,30.54,59,100,6.31,ID,1690614123
461,manokwari,-0.8667,134.0833,28.21,78,74,2.25,ID,1690614124
462,gewane,10.1664,40.6453,30.65,44,98,8.3,ET,1690614124
463,batac city,18.0554,120.5649,29.88,79,75,5.14,PH,1690614125
464,touros,-5.1989,-35.4608,23.88,84,56,8.37,BR,1690614026
465,pavlodar,52.3,76.95,32.89,27,0,7.0,KZ,1690614125
466,cuamba,-14.8031,36.5372,23.61,46,6,2.38,MZ,1690614126
467,azhikkal,11.9,75.3667,29.41,65,79,5.13,IN,1690614126
468,lucapa,-8.4192,20.7447,25.78,24,7,1.54,AO,1690614127
469,changqing,36.5575,116.7272,26.08,92,100,2.67,CN,1690614128
470,galvez,-32.0293,-61.221,8.28,76,9,3.58,AR,1690614128
471,usinsk,65.9939,57.5281,22.19,52,32,1.07,RU,1690614129
472,tubmanburg,6.8708,-10.8172,22.97,97,100,0.92,LR,1690614129
473,kavieng,-2.5744,150.7967,28.03,76,94,2.35,PG,1690614129
474,prado,-17.3411,-39.2208,19.27,91,100,1.3,BR,1690614132
475,tarhuna,32.435,13.6332,33.78,23,0,3.57,LY,1690614133
